Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
WASP-29,,4800,0.79,0.77,-0.525,4.5,14
WASP-3,,6400,1.44,1.62,0.434,4.25,2.1
WASP-31,,6302,1.25,1.16,0.336,4.31,1
WASP-32,,6140,0.95,0.72,0.193,4.4,2.22
WASP-33,A5,7430,1.44,1.5,0.819,4.25,
WASP-34,,5700,0.91,0.96,0.039,4.5,7.8
WASP-35,,5990,1.08,1.05,0.144,4.4,5
WASP-36,,5959,0.99,1.08,0.001,4.49,1.4
WASP-37,,5800,1,0.93,-0.021,4.41,11
WASP-38,F8 V,6180,1.52,1.76,0.453,4.25,3.29
WASP-39,,5400,0.9,0.93,-0.128,4.45,9
WASP-4,G8,5400,0.89,0.86,-0.179,4.47,7
WASP-42,,5315,0.89,0.95,-0.361,4.52,4.4
WASP-43,K7 V,4400,0.6,0.58,-0.825,4.49,7
WASP-44,G8 V,5420,0.91,0.94,-0.198,4.49,10.3
WASP-45,K2 V,5150,0.86,0.85,-0.336,4.5,12.7
WASP-46,G6 V,5600,0.86,0.83,-0.111,4.49,9.6
WASP-48,,5920,1.58,0.88,0.58,4.03,7.9
WASP-49,G6 V,5600,0.97,0.92,-0.053,4.5,11.9
WASP-5,G5,5700,1.03,0.96,0.067,4.4,5.4
WASP-50,,5400,0.84,0.89,-0.198,4.54,7
WASP-52,K2 V,5000,0.79,0.87,-0.354,4.58,0.4
WASP-54,F9,6100,1.76,1.08,0.575,4,6.9
WASP-55,,5900,1.09,1.11,0.163,4.3,1.1
WASP-56,G6,5600,0.96,0.71,0.103,4.5,6.2
WASP-57,G6,5600,0.93,0.89,-0.005,4.45,2.6
WASP-58,G2 V,5800,1.22,1.06,0.16,4.27,12.8
WASP-59,K5 V,4650,0.61,0.72,-0.794,4.72,0.5
WASP-6,,5450,0.73,0.55,-0.297,4.6,11
WASP-60,G1 V,5900,1.17,1.19,0.347,4.2,1.7
WASP-61,,6250,1.55,1.82,0.425,4.26,2.7
WASP-62,,6230,1.23,1.11,0.346,4.45,2.6
WASP-63,,5550,1.86,1.28,0.449,4.01,8.3
WASP-64,G7,5400,1.06,1,-0.022,4.39,1.2
WASP-65,G6,5600,1.01,0.93,0.055,4.4,8
WASP-66,,6600,1.76,1.33,0.637,4.3,3.7
WASP-67,,5200,0.88,0.91,-0.294,4.35,12.6
WASP-68,G0,5910,1.79,1.49,0.505,4.17,5.7
WASP-69,K5,4700,0.86,0.98,-0.468,4.5,7
WASP-7,,6400,1.43,1.28,0.537,4.23,2.4
WASP-70 A,G4,5763,1.22,1.11,0.162,4.31,9.5
WASP-71,F8,6050,1.82,0.76,0.768,3.9,3
