Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
Kepler-918,,6028,1.14,1.11,-0.018,4.37,3.24
Kepler-919,,6113,1.21,1.15,0.167,4.33,3.02
Kepler-921,,5663,0.91,0.93,-0.03,4.5,4.27
Kepler-922,,5671,0.93,0.95,-0.133,4.48,4.37
Kepler-923,,5988,1.26,1.11,0.333,4.28,4.68
Kepler-924,,6167,1.23,1.14,0.314,4.32,3.09
Kepler-925,,4673,0.72,0.77,-0.684,4.62,2.57
Kepler-926,,5806,1.01,1.01,0.173,4.43,4.37
Kepler-927,,5743,0.99,0.99,-0.086,4.45,4.37
Kepler-928,,4700,0.7,0.73,-0.719,4.62,4.37
Kepler-929,,5869,1.02,1.01,0.461,4.42,3.47
Kepler-930,,6335,1.4,1.25,0.378,4.24,2.34
Kepler-931,,5241,0.81,0.86,-0.35,4.55,4.68
Kepler-932,,5331,0.84,0.87,-0.322,4.54,4.68
Kepler-933,,5346,0.84,0.87,-0.211,4.54,4.68
Kepler-934,,5001,0.77,0.81,-0.478,4.59,4.47
Kepler-935,,4830,0.73,0.78,-0.639,4.61,3.8
Kepler-936,,5482,0.89,0.92,-0.19,4.51,4.57
Kepler-938,,5533,0.89,0.92,-0.174,4.51,4.27
Kepler-939,,5471,0.85,0.88,0.391,4.54,4.47
Kepler-940,,5769,0.96,0.97,-0.057,4.47,3.63
Kepler-941,,5539,0.86,0.89,-0.206,4.53,4.07
Kepler-942,,4861,0.75,0.81,-0.585,4.59,4.17
Kepler-943,,5612,0.91,0.93,0.407,4.5,4.27
Kepler-944,,5409,0.83,0.86,-0.078,4.54,4.47
Kepler-945,,5718,0.97,0.97,0.024,4.46,4.47
Kepler-946,,5665,0.93,0.94,0.134,4.47,4.17
Kepler-947,,5508,0.87,0.9,0.142,4.52,4.27
Kepler-948,,5679,0.94,0.96,-0.109,4.47,4.17
Kepler-949,,5403,0.86,0.89,-0.442,4.53,4.57
Kepler-95,,5699,1.41,1.08,0.281,4.17,5.63
Kepler-950,,5857,1.02,1.02,0.355,4.44,3.8
Kepler-951,,4834,0.73,0.77,-0.642,4.6,4.27
Kepler-952,,5730,0.99,1,0.097,4.45,4.27
Kepler-954,,4990,0.76,0.82,-0.572,4.59,3.39
Kepler-955,,5350,0.84,0.89,-0.409,4.54,4.37
Kepler-956,,6040,1.15,1.1,0.052,4.36,3.47
Kepler-957,,4963,0.75,0.81,-0.468,4.6,2.75
Kepler-958,,5421,0.86,0.91,-0.282,4.53,4.37
Kepler-959,,7005,2.01,1.6,0.738,4.04,1.35
Kepler-96,,5690,1.02,1,-0.052,4.42,2.34
Kepler-960,,4755,0.72,0.77,-0.629,4.61,3.63
Kepler-961,,5582,0.9,0.96,-0.194,4.51,2.82
Kepler-962,,5478,0.86,0.93,-0.261,4.54,2.4
Kepler-963,,5461,0.87,0.91,-0.225,4.52,4.07
Kepler-964,,5427,0.84,0.93,-0.306,4.55,1.91
Kepler-965,,5886,1.15,1.05,0.148,4.33,5.5
Kepler-966,,5840,1.02,1.02,0.233,4.43,4.07
Kepler-970,,4290,0.71,0.67,-0.775,4.62,0.105
Kepler-971,,5431,0.85,0.88,-0.299,4.54,4.47
Kepler-972,,6146,1.22,1.15,0.191,4.33,2.82
Kepler-973,,5213,0.78,0.86,-0.344,4.58,2.29
Kepler-974,,3687,0.5,0.52,-1.354,4.76,4.37
Kepler-975,,4897,0.75,0.8,-0.512,4.59,3.89
Kepler-976,,5232,0.83,0.87,-0.36,4.55,4.68
Kepler-977,,5315,0.83,0.87,-0.476,4.55,4.57
Kepler-978,,6002,1.09,1.07,0.143,4.38,3.63
Kepler-979,,5310,0.83,0.87,-0.32,4.54,4.57
Kepler-98,,5539,1.11,0.99,-0.133,4.34,2.79
Kepler-980,,5935,1.06,1.05,0.262,4.41,3.55
Kepler-981,,5718,0.96,0.98,-0.081,4.47,4.07
Kepler-982,,6139,1.29,1.16,0.511,4.28,3.55
Kepler-983,,6052,1.08,1.13,0.15,4.42,1.41
Kepler-984,,5610,0.93,0.96,-0.108,4.49,3.98
Kepler-985,,5434,0.85,0.91,-0.283,4.54,3.39
Kepler-986,,5642,0.98,0.96,-0.047,4.43,6.17
Kepler-987,,5637,0.91,0.97,-0.145,4.51,2.45
Kepler-988,,4005,0.53,0.55,-1.047,4.73,3.16
Kepler-989,,5074,0.78,0.82,-0.427,4.58,4.68
Kepler-99,,4782,0.73,0.79,-0.585,4.61,1.47
Kepler-991,,4392,0.61,0.64,-0.831,4.67,3.47
Kepler-992,,4944,0.74,0.8,-0.57,4.6,3.02
Kepler-993,,3843,0.54,0.57,-1.229,4.72,3.89
Kepler-994,,3934,0.54,0.56,-1.139,4.72,3.24
Kepler-995,,5206,0.8,0.83,-0.419,4.57,5.01
Kepler-996,,6014,1.14,1.09,0.242,4.36,3.63
Kepler-997,,6150,1.56,1.22,0.496,4.14,3.63
Kepler-998,,6058,1.18,1.12,0.193,4.34,3.31
Kepler-999,,6237,1.65,1.29,0.538,4.11,3.09
L 168-9,M1 V,3800,0.6,0.62,-1.172,4.04,
L 363-38,,3129,0.27,0.21,-1.886,4.97,8.07
LHS 1478,m3 V,3381,0.25,0.24,-2.146,4.87,
LHS 1815,M1,3643,0.5,0.5,-1.387,4.77,
LHS 3844,M5,3036,0.19,0.15,-2.565,5.06,
LP 714-47,M0.0 V,3950,0.58,0.59,-1.125,4.64,
LSPM J2116+0234,M3.0 V,3475,0.43,0.43,-1.699,4.95,2
LTT 9779,G7 V,5443,0.95,0.77,-0.149,4.35,1.9
Lupus-TR-3,,5000,0.82,0.87,-1.464,4.96,
MASCARA-1,A8,7490,2.08,1.9,1.083,4.11,0.8
MASCARA-4,A7 V,7800,1.92,1.75,1.087,4.1,0.8
MOA-2007-BLG-192L,,,,0.06,,,
MOA-2007-BLG-400L,,,,0.69,,,
MOA-2008-BLG-310L,,,,0.21,,,
MOA-2008-BLG-379L,K,,,0.56,,,
MOA-2009-BLG-266L,,,,0.56,,,
MOA-2009-BLG-319L,,,,0.52,,,
MOA-2009-BLG-387L,,,,0.19,,,
MOA-2010-BLG-073L,,,,0.16,,,
MOA-2010-BLG-117L,,,,0.58,,,
MOA-2010-BLG-328L,,,,0.11,,,
MOA-2010-BLG-353L,,,,0.18,,,
MOA-2010-BLG-477L,,5950,,0.67,,,
MOA-2011-BLG-028L,,,,0.75,,,
MOA-2011-BLG-262L,,,,0.11,,,
MOA-2011-BLG-291L,,,,0.15,,,
MOA-2011-BLG-293L,,,,0.86,,,
MOA-2011-BLG-322L,,,,0.39,,,
MOA-2012-BLG-006L,,,,0.49,,,
MOA-2012-BLG-505L,,,,0.1,,,
MOA-2013-BLG-220L,,,,0.88,,,
MOA-2013-BLG-605L,,,,0.02,,,
MOA-2015-BLG-337L,,,,0.01,,,
MOA-2016-BLG-227L,,,,0.29,,,
MOA-2016-BLG-319L,,,,0.15,,,
MOA-2019-BLG-008L,,,,0.9,,,
MOA-2020-BLG-135L,,,,0.23,,,
MOA-bin-1L,,,,0.75,,,
MOA-bin-29,,,,0.03,,,
MXB 1658-298,,,,1.98,,,
NGC 2682 Sand 364,K3 III,4284,39.59,9.06,2.072,2.2,4.15
NGC 2682 Sand 978,K4 III,4200,21.02,1.37,2.157,1.8,
NGC 2682 YBP 1194,G5 V,5780,0.99,1.01,-0.011,4.44,4.15
NGC 2682 YBP 1514,G5 V,5725,0.89,0.96,-0.018,4.57,4.15
NGC 2682 YBP 401,F9 V,6165,1.22,1.14,0.289,4.3,
NGTS-1,M0.5,3916,0.57,0.62,-1.153,4.71,
NGTS-10,K5 V,4600,0.7,0.7,-0.757,4.59,10.4
NGTS-11,K,5050,0.83,0.86,-0.395,4.5,3.9
NGTS-12,G,5690,1.59,1.02,0.338,4.04,9.4
NGTS-13,,5819,1.79,1.3,0.517,4.04,4.23
NGTS-14 A,K1 V,5187,0.84,0.9,-0.311,4.2,5.9
NGTS-15,G6 V,5600,0.95,0.99,-0.086,4.4,3.28
NGTS-16,G7 V,5550,1.21,1,0.117,4.35,10.29
NGTS-17,G4 V,5650,1.34,1.02,0.241,4,9.22
NGTS-18,G5 V,5610,1.39,1,0.27,4.16,10.84
NGTS-2,F5 V,6478,1.7,1.64,0.631,4.2,2.17
NGTS-20,G1 IV,5980,1.78,1.47,0.645,3.8,4.1
NGTS-21,K3 V,4660,0.86,0.72,-0.539,4.63,10.02
NGTS-23,F9 V,6057,1.24,1.01,0.283,4.04,6.39
NGTS-24,G2 IV,5820,1.64,1.26,0.446,4.09,4.77
NGTS-25,K0 V,5321,0.86,0.91,-0.292,4.48,3.49
NGTS-3 A,G6 V,5600,0.93,1.02,-0.144,4.45,
NGTS-4,,5143,0.84,0.75,-0.353,4.5,
NGTS-5,K2 V,4987,0.74,0.66,-0.511,4.52,
NGTS-6,,4730,0.75,0.77,-0.592,4.7,9.77
NGTS-8,K0 V,5241,0.98,0.89,-0.21,4.41,12.48
NGTS-9,F8 V,6330,1.38,1.34,0.389,4.37,0.96
NSVS 14256825,,40000,0.19,0.42,1.974,5.5,
OGLE-2003-BLG-235L,K V,,,0.63,,,
OGLE-2005-BLG-071L,,,,0.46,,,
OGLE-2005-BLG-169L,K5,,,0.69,,,
OGLE-2005-BLG-390L,,,,0.22,,,
OGLE-2006-BLG-284L A,,,,0.35,,,
OGLE-2007-BLG-349L A,M,,,0.41,,,
OGLE-2007-BLG-368L,,,,0.64,,,
OGLE-2008-BLG-092L,,,,0.71,,,
OGLE-2008-BLG-355L,,,,0.37,,,
OGLE-2011-BLG-0173L,,,,0.41,,,
OGLE-2011-BLG-0251L,M,,,0.26,,,
OGLE-2011-BLG-0265L,,,,0.21,,,
OGLE-2012-BLG-0358L,,,,0.02,,,
OGLE-2012-BLG-0406L,,,,0.44,,,
OGLE-2012-BLG-0563L,,,,0.34,,,
OGLE-2012-BLG-0724L,M V,,,0.29,,,
OGLE-2012-BLG-0838L,,,,0.4,,,
OGLE-2012-BLG-0950L,M V,,,0.57,,,
OGLE-2013-BLG-0102L,,,,0.1,,,
OGLE-2013-BLG-0132L,,,,0.54,,,
OGLE-2013-BLG-0341L B,,,,0.11,,,
OGLE-2013-BLG-0911L,,,,0.29,,,
OGLE-2013-BLG-1721L,,,,0.46,,,
OGLE-2013-BLG-1761L,,,,0.33,,,
OGLE-2014-BLG-0124L,,,,0.71,,,
OGLE-2014-BLG-0319L,M,,,0.52,,,
OGLE-2014-BLG-0676L,,,,0.73,,,
OGLE-2014-BLG-1760L,,,,0.51,,,
OGLE-2015-BLG-0051L,,,,0.1,,,
OGLE-2015-BLG-0954L,,,,0.3,,,
OGLE-2015-BLG-0966L,,,,0.38,,,
OGLE-2015-BLG-1649L,,,,0.34,,,
OGLE-2015-BLG-1670L,,,,0.55,,,
OGLE-2015-BLG-1771L,,,,0.08,,,
OGLE-2016-BLG-0263L,,,,0.13,,,
OGLE-2016-BLG-0613L AB,,,,0.72,,,
OGLE-2016-BLG-1067L,,,,0.3,,,
OGLE-2016-BLG-1093,,,,0.46,,,
OGLE-2016-BLG-1190L,,,,0.88,,,
OGLE-2016-BLG-1195L,,,,0.08,,,
OGLE-2016-BLG-1227L,,,,0.1,,,
OGLE-2017-BLG-0173L,,,,0.4,,,
OGLE-2017-BLG-0373L,,,,0.25,,,
OGLE-2017-BLG-0406L,,,,0.56,,,
OGLE-2017-BLG-0482L,,,,0.2,,,
OGLE-2017-BLG-0604L,,,,0.7,,,
OGLE-2017-BLG-1049L,,,,0.55,,,
OGLE-2017-BLG-1099L,,,,0.45,,,
OGLE-2017-BLG-1140L,,,,0.21,,,
OGLE-2017-BLG-1375L,,,,0.81,,,
OGLE-2017-BLG-1434L,,,,0.23,,,
OGLE-2017-BLG-1522L,,,,0.04,,,
OGLE-2017-BLG-1691L,,,,0.45,,,
OGLE-2017-BLG-1806L,,,,0.38,,,
OGLE-2018-BLG-0383L,,,,0.1,,,
OGLE-2018-BLG-0506L,,,,0.63,,,
OGLE-2018-BLG-0516L,,,,0.47,,,
OGLE-2018-BLG-0532L,,,,0.2,,,
OGLE-2018-BLG-0567L,,,,0.25,,,
OGLE-2018-BLG-0596L,,,,0.23,,,
OGLE-2018-BLG-0677L,,,,0.12,,,
OGLE-2018-BLG-0740L,G V,5912,,1,,4.5,
OGLE-2018-BLG-0799L,,,,0.09,,,
OGLE-2018-BLG-0962L,,,,0.54,,,
OGLE-2018-BLG-0977L,,,,0.47,,,
OGLE-2018-BLG-1185L,,,,0.37,,,
OGLE-2018-BLG-1269L,,,,1.11,,,
OGLE-2018-BLG-1428L,,,,0.43,,,
OGLE-2018-BLG-1700L,,,,0.42,,,
OGLE-2019-BLG-0299L,,,,0.59,,,
OGLE-2019-BLG-0304L,,,,0.27,,,
OGLE-2019-BLG-0362L,,,,0.42,,,
OGLE-2019-BLG-0954L,,,,0.8,,,
OGLE-2019-BLG-0960L,,,,0.5,,,
OGLE-2019-BLG-1053L,,,,0.61,,,
OGLE-2019-BLG-1470L A,,,,0.57,,,
OGLE-2019-BLG-1492L,,,,0.68,,,
OGLE-TR-10,G2 V,5950,1.17,1.14,0.188,4.18,3.1
OGLE-TR-111,K2 V,5040,0.83,0.82,-0.339,4.54,8.8
OGLE-TR-113,K4 V,4790,0.77,0.78,-0.529,4.55,13.2
OGLE-TR-132,F5 V,6210,1.32,1.3,0.371,4.31,1.2
OGLE-TR-182,,5924,1.14,1.14,0.241,4.14,4.3
OGLE-TR-211,,6325,1.64,1.33,0.267,4.17,2.6
OGLE-TR-56,F8 V,6050,1.74,1.17,0.35,4.09,3
OGLE2-TR-L9,,6933,1.53,1.52,0.512,4.24,1
Oph 11,M9,2375,0.23,0.02,-2.77,4.25,5
PH1,F,6407,1.73,1.53,0.66,4.14,2
PH2,,5629,1,0.94,-0.102,4.41,2.04
POTS-1,K5 V,4400,0.59,0.69,-1.087,4.63,
PSR B0329+54,,,,1.44,,,
PSR B1620-26,,,,1.35,,,
PSR J1719-1438,,4500,,1.4,,,12.5
PSR J2322-2650,,,,1.4,,,
Pr0201,,6174,1.15,1.24,0.245,4.41,
Proxima Cen,M5.5 V,2900,0.14,0.12,-2.796,5.16,
Qatar-1,,5013,0.8,0.84,-0.438,4.55,1.19
Qatar-10,F7 V,6124,1.25,1.16,0.3,4.3,3.2
Qatar-2,,4645,0.78,0.74,-0.683,4.53,5
Qatar-3,G0 V,6007,1.27,1.15,0.279,4.29,0.31
Qatar-4,K1 V,5215,0.85,0.9,-0.318,4.53,0.17
Qatar-5,G2 V,5747,1.08,1.13,0.056,4.43,0.53
Qatar-6,K2 V,5052,0.72,0.82,-0.514,4.64,1.02
Qatar-7,F4 V,6387,1.56,1.41,0.563,4.2,1.69
Qatar-8,G0 V,5738,1.32,1.03,0.228,4.21,8.3
Qatar-9,K5 V,4309,0.7,0.72,-0.821,4.61,7.5
ROXs 12,M0,3850,1.07,0.87,-0.79,4.07,0.008
ROXs 42 B,M0,3433,1.34,1,-0.792,,0.003
RR Cae,M,3904,0.19,0.44,-2.108,5.08,
Ross 128,M4,3192,0.2,0.17,-2.441,5.05,5
Ross 458,M2,3646,0.56,0.56,-1.298,4.68,0.5
Ross 508,M4.5 V,3071,0.21,0.18,-2.445,5.04,
SR 12 AB,,3828.93,1.1,,-0.628,,0.002
SWEEPS-11,,,1.45,1.1,,,
SWEEPS-4,,,1.18,1.24,,,
TAP 26,,4620,1.17,1.04,-0.25,4.5,0.017
TCP J05074264+2447555,,5805,1.42,0.59,0.317,4.15,
TIC 172900988 Aa,F9,6050,1.38,1.24,0.671,4.25,3.1
TIC 237913194,G3,5788,1.09,1.03,0.078,4.38,5.7
TIC 257060897,,5988,1.82,1.32,0.61,3.93,3.47
TOI-1075,K9 V/M0 V,3875,0.58,0.6,-1.144,4.69,6
TOI-1107,F6 V,6311,1.81,1.35,0.671,4.05,2.6
TOI-1181,F9 IV,5990,1.75,1.19,0.672,3.9,2.59
TOI-1201,M2.0 V,3476,0.51,0.51,-1.469,4.8,
TOI-122,M3 V,3403,0.33,0.31,-1.854,4.88,2
TOI-1227,M4.5V-M5V,3072,0.56,0.17,-2.6,4.44,0.011
TOI-1231,M3 V,3553,0.48,0.49,-1.487,4.77,
TOI-1235,M0.5 V,3997,0.62,0.63,-1.054,4.64,5.3
TOI-1259 A,,4775,0.71,0.74,-0.59,4.61,4.8
TOI-1268,K1-K2,5300,0.92,0.96,-0.288,4.55,0.245
TOI-1278,M0 V,3799,0.57,0.54,-1.212,4.68,
TOI-1296,,5603,1.66,1.17,0.39,4.05,6.9
TOI-1298,,5889,1.41,1.44,0.334,4.39,1.6
TOI-132,G8 V,5397,0.9,0.97,-0.222,4.48,6.34
TOI-1333,,6274,1.93,1.46,0.713,4.03,2.33
TOI-1338,,6050,1.33,1.13,0.329,4,4.4
TOI-1411,,4266,0.66,0.59,-0.882,4.73,
TOI-1422,G2 V,5840,1.02,0.98,0.048,4.41,5.1
TOI-1431,Am C,7690,1.92,1.9,1.068,4.15,0.29
TOI-1442,,3330,0.31,0.29,-1.977,4.92,
TOI-1452,M4 &#177 0.5 V,3185,0.28,0.25,-2.155,4.95,
TOI-1478,,5597,1.05,0.95,-0.013,4.37,9.1
TOI-150,F,6255,1.53,1.35,0.497,4.13,2.346
